query_id,baseline_mean_runtime_ms,baseline_mean_bytes,optimized_mean_runtime_ms,optimized_mean_bytes,runtime_improvement_pct,bytes_improvement_pct,improvement_label,partition_scheme_baseline,partition_scheme_optimized,n_runs
Q01,1065.6666666666667,18926568.0,621.6666666666666,4231551.0,41.66,77.64,1,0,1,3
Q02,893.6666666666666,4678248.0,634.3333333333334,105889.0,29.02,97.74,1,0,1,3
Q03,1252.3333333333333,81284832.0,803.6666666666666,7629179.0,35.83,90.61,1,0,1,3
Q05,1123.0,21484924.0,663.0,2469792.0,40.96,88.5,1,0,1,3
Q06,1369.0,60344205.0,669.3333333333334,2500906.0,51.11,95.86,1,0,1,3
Q07,1178.3333333333333,20835443.0,692.6666666666666,1358506.0,41.22,93.48,1,0,1,3
Q08,1016.3333333333334,27771307.0,685.3333333333334,1566325.0,32.57,94.36,1,0,1,3
Q09,1080.0,20204337.0,617.0,1052761.0,42.87,94.79,1,0,1,3
Q10,1339.3333333333333,31282317.0,647.3333333333334,1493517.0,51.67,95.23,1,0,1,3
Q11,1405.3333333333333,4678248.0,717.6666666666666,191431.0,48.93,95.91,1,0,1,3
Q12,1185.6666666666667,22118157.0,963.0,4837524.0,18.78,78.13,1,0,1,3
Q13,1731.3333333333333,58404312.0,1034.6666666666667,10049786.0,40.24,82.79,1,0,1,3
Q15,1271.3333333333333,20210760.0,799.0,5398924.0,37.15,73.29,1,0,1,3
Q16,1353.6666666666667,60313187.0,700.0,3743519.0,48.29,93.79,1,0,1,3
Q17,953.0,4047677.0,695.0,45006.0,27.07,98.89,1,0,1,3
Q18,1636.0,20208207.0,855.0,6599612.0,47.74,67.34,1,0,1,3
Q19,1775.3333333333333,30365475.0,796.0,5095812.0,55.16,83.22,1,0,1,3
Q20,1451.0,26699028.0,1098.0,3713513.0,24.33,86.09,1,0,1,3
Q22,4651.0,67737549.0,984.3333333333334,9149386.0,78.84,86.49,1,0,1,3
Q24,935.0,20198850.0,881.0,12862221.0,5.78,36.32,0,0,1,3
Q25,1180.0,19133470.0,1041.6666666666667,11803375.0,11.72,38.31,1,0,1,3
